"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2020","18.70","19.09","19.82","18.37","128.36M","-6.03%"
"Sep 02, 2020","19.90","20.89","20.95","18.50","153.46M","-1.09%"
"Sep 01, 2020","20.12","19.43","20.37","18.75","137.64M","5.73%"
"Aug 31, 2020","19.03","17.24","19.82","16.86","226.61M","2.86%"
"Aug 28, 2020","18.50","18.89","19.41","18.12","155.24M","-6.94%"
"Aug 27, 2020","19.88","19.92","20.46","18.81","199.85M","-2.74%"
"Aug 26, 2020","20.44","19.00","20.97","18.61","364.10M","14.57%"
"Aug 25, 2020","17.84","15.13","17.85","15.07","299.05M","19.17%"
"Aug 24, 2020","14.97","14.61","14.97","14.32","98.70M","6.02%"
"Aug 21, 2020","14.12","13.65","14.58","13.64","70.19M","2.47%"
"Aug 20, 2020","13.78","13.84","14.04","13.54","50.07M","-1.99%"
"Aug 19, 2020","14.06","14.29","14.39","13.85","41.97M","-1.68%"
"Aug 18, 2020","14.30","14.25","14.68","13.88","69.96M","1.78%"
"Aug 17, 2020","14.05","13.08","14.05","13.08","78.34M","7.25%"
"Aug 14, 2020","13.10","13.18","13.18","12.54","63.25M","-1.95%"
"Aug 13, 2020","13.36","13.45","13.63","13.17","50.09M","0.00%"
"Aug 12, 2020","13.36","13.34","13.44","12.68","77.47M","2.85%"
"Aug 11, 2020","12.99","15.24","15.43","12.95","181.31M","-8.59%"
"Aug 10, 2020","14.21","13.95","14.40","13.70","84.27M","5.89%"
"Aug 07, 2020","13.42","13.54","13.73","13.20","57.75M","-3.03%"
"Aug 06, 2020","13.84","14.10","14.30","13.52","49.79M","-0.57%"
"Aug 05, 2020","13.92","13.49","14.07","13.38","60.38M","2.05%"
"Aug 04, 2020","13.64","14.41","14.52","13.22","125.73M","0.29%"
"Aug 03, 2020","13.60","12.53","13.66","12.48","122.93M","13.90%"
"Jul 31, 2020","11.94","12.36","12.59","11.74","61.81M","-2.13%"
